Name,Ingredients,Instructions
Amuse Bouche Broccoli Chinese Spoon,"['1 broccoli, floweret steamed al dente and drained', '18 teaspoon white truffle oil', '18 teaspoon asiago cheese, finely grated', '14 teaspoon pine nuts, toasted', 'salt']","['Serve one floweret on Chinese spoon; add salt, Truffle oil, grated cheese and toasted pine nuts.']"
Potato Tots,"['5 to 6 medium russet potatoes (2 pound), cut into chunks', '1 medium sweet potato or yam ( 1/4 pound), cut into chunks', '2 cups cold water', '2 1/2 teaspoons kosher salt, divided', '2 teaspoons corn flour', '2 teaspoons ground millet flour', 'Pinch of cayenne pepper', 'Salt and freshly ground black pepper', 'Safflower or peanut oil, for frying']","['Place the russet potatoes and sweet potato into the bowl of a food processor fitted with a metal cutting blade.', 'Pulse 5 or 6 times until coarsely ground.', 'In a large bowl, combine the cold water and 2 teaspoons of the salt.', 'Add the potatoes and stir to coat.', 'Drain well through a fine sieve, pushing out as much water as you can.', 'Transfer the potatoes to a microwave-safe bowl and heat for 4 minutes.', 'Stir and heat for another 4 minutes.', 'Stir in the corn flour, ground millet flour, cayenne, and the remaining 1/2 teaspoon salt.', 'Line a 9-inch square pan with parchment and pour in the potato mixture.', 'Spread it evenly and let the mixture cool to room temperature.', 'Chill in the freezer for 20 minutes.', 'Once the potato mixture is frozen, cut it into 1-by- 1/2-inch tots.', 'Line a baking sheet with parchment and set aside.', 'Heat at least 2 inches of oil in a heavy-bottomed pot to 370F.', 'Fry the tots in batches, being sure not to crowd the pot, until golden brown, about 1 to 2 minutes.', 'Remove the tots with a slotted spoon and place them on the prepared baking']"
Cinnamon-Orange Creme Brulee,"['1 cup 2% low-fat milk', '6 tablespoons nonfat dry milk powder', '1 dash salt', '1 (1 inch) orange rind, strip', '1 cinnamon stick (1 inch)', '14 teaspoon vanilla extract', '14 cup granulated sugar, divided', '2 large egg yolks']","['Preheat oven to 300.', 'Combine milk, dry milk, and salt in a small saucepan over medium heat.', 'Heat to 180 or until tiny bubbles form around the edge (do not boil), stirring occasionally.', 'Remove from heat; stir in orange rind and cinnamon stick.', 'Cover and let steep 10 minutes.', 'Strain milk mixture through a sieve into a bowl; discard solids.', 'Stir in vanilla extract.', 'Combine 2 tablespoons sugar and egg yolks in a medium bowl; stir well with a whisk to combine.', 'Gradually add milk mixture to egg mixture, stirring constantly with a whisk.', 'Divide milk mixture evenly between 2 shallow (6-ounce) dishes.', 'Place dishes in a 13 x 9inch baking pan; add hot water to pan to a depth of 1 inch.', 'Bake at 300 for 40 minutes or until center barely moves when dish is touched.', 'Remove dishes from pan; cool completely on a wire rack.', 'Cover and chill at least 4 hours or overnight.', 'Sift remaining 2 tablespoons sugar evenly over the top of brulees.', 'Holding a kitchen blowtorch about 2 inches from the top of each custard, heat the sugar, moving the torch back and forth, until sugar is completely melted and caramelized (about 1 minute).', 'Serve within 1 hour.']"
German Pancakes,"['1/4 cups Butter', '1/2 cups Flour', '2 whole Eggs', '1 cup Milk', '1 drop Vanilla (optional)', '1 dash Nutmeg (optional)', '1 dash Cinnamon (optional)']","['Preheat oven to 450 degrees.', 'Melt butter in a heavy oven safe dish (I use a 10.5-inch cast iron skillet) over medium heat.', 'Whisk together other ingredients in a large bowl, in the order listed above.', 'Tilt skillet to coat the sides with butter.', 'Pour batter into the skillet and place on the middle rack in the oven.', 'Bake for 20 minutes.', 'When done, the German pancake will be puffy like a souffle and golden brown.', 'Loosen with spatula if necessary and slide from the skillet onto a serving plate.', 'If cooked in a well-seasoned cast iron pan, the pancake should slide out easily.', 'This recipe can be doubled and two pancakes can be baked at once, side by side in the oven.']"
Artichoke and Parmesan Dip,"['1 can (14 oz.) artichoke hearts, drained well', '1/2 cup freshly grated parmesan cheese', '3/4 cup mayonnaise', '1/4 cup plain yogurt', '1 clove garlic, mashed with dash of salt', '2 tsp. fresh lemon juice', '1 scallion, chopped', 'Tabasco, to taste', 'Bread sticks', 'lightly-toasted French bread slices']","['Puree artichokes, parmesan, mayonnaise, yogurt, garlic paste, lemon juice, scallion and Tabasco, salt and pepper to taste, until mixture is smooth.']"
Bifteki (Hamburger Patties),"['2 12 lbs ground beef', '1 large onion, chopped', '2 eggs', '2 lemons, juice of', 'salt', 'ground pepper', '3 garlic cloves, chopped', '1 cup breadcrumbs', 'olive oil', 'mint', 'thyme']","['Combine all ingredients and mix well with hands.', 'Shape into oval patties, like hamburgers.', 'Broil them in oven until desired doneness.']"
Cheese and Bean Burritos,"['7 (10 inch) flour tortillas', ""32 ounces vegetarian refried beans (I highly recommend using Diana Neal's recipe for refried beans refer to Recipezar Refried Beans)"", '4 ounces canned green chilies, chopped', '12 teaspoon cumin', '12 teaspoon garlic powder', '8 ounces cheddar cheese, shredded']","['Preheat oven to 400F (205C).', 'Prepare filling by mixing refried beans, chilies, cumin and garlic together in a bowl.', 'Spoon approximately 4 ounces bean filling into the center of each tortilla and top with about one tablespoon of cheese.', 'Fold in ends and then sides.', 'Place burritos seam side down on baking sheets that have been sprayed with vegetable oil spray.', 'Bake for 2025 minutes until golden brown.']"
Great Pumpkin Pie,"['1 Basic flaky Pie Crust for a 9-inch pie', '4 (2-inch) gingersnaps', '1/4 cup pecan halves', '1 3/4 cups unsweetened pumpkin puree (one 15-ounce can)', '3/4 cup, packed, light brown sugar, preferably raw', '2 teaspoons ground ginger', '1 1/2 teaspoons ground cinnamon', '1/2 teaspoon salt', '2/3 liquid cup milk', '2/3 liquid cup heavy cream', '3 large eggs', '1/2 teaspoon pure vanilla extract']","['Using a floured pastry cloth and rolling pin sleeve, or two sheets of lightly floured plastic wrap, roll the pastry 1/8 inch thick or less and large enough to cut a 13-inch circle.', 'Use an expandable flan ring or a cardboard template and a sharp knife as a guide to cut out the circle.', 'Transfer it to the pie pan and tuck the overhanging pastry under itself.', 'If desired, reroll the scraps, chill, and cut out decorative designs such as leaves.', '(Bake them separately on a small baking sheet at 400F for 6 to 10 minutes or until golden brown.', 'Remove to a rack to cool.)', 'Cut the border into a checkerboard design or use a fork or spoon to make a flat but decorative border.', 'Do not make a high raised border or extend it over the sides of the pan, as it will not hold up baked so close to the heat source.', 'Refrigerate, covered with plastic wrap, for at least 1 and up to 24 hours.', 'Preheat the oven to 375F at least 20 minutes before baking.', 'Plan to bake directly on the floor of the oven, or set an oven shelf at the lowest level and place a baking stone or cookie sheet on it before preheating.', 'Process the gingersnaps and pecans until finely ground.', 'Sprinkle them over the bottom of the pie crust and, using your fingers and the back of a spoon, press them into the dough to coat the entire bottom, going about 1/2 inch up the sides.', 'In a small heavy saucepan, stir together the pumpkin, brown sugar, spices, and salt.', 'Over medium heat, bring the mixture to a sputtering simmer, stirring constantly.', 'Reduce the heat to low and cook, stirring constantly, for 3 to 5 minutes or until thick and shiny.', 'Scrape the mixture into a food processor and process for 1 minute.', 'With the motor on, add the milk and cream, processing until incorporated.', 'Scrape the sides of the work bowl.', 'Add the eggs one at a time, processing just to incorporate, about 5 seconds after each addition; add the vanilla along with the last egg.', 'Pour the mixture into the pie shell and set it directly on the floor of the oven (or on the baking stone).', 'Bake the pie for 50 to 60 minutes or just until a knife inserted between the sides and center comes out almost clean.', 'The filling will have puffed and the surface dulled, except for the center.', '(The filling will shake like jelly when moved.', 'This will happen before it has finished baking, so it cannot be used as a firm indication of doneness; conversely, if it does not have this jelly-like consistency, you can be sure that it is not baked adequately).', 'If the crust appears to be darkening too much on the bottom, raise the pie to the next rack.', 'After 30 minutes, protect the edges with a foil ring.', 'Place the baked pie on a rack to cool.', 'When cool, the surface will be flat.', 'If you have made decorative designs, place them on it now.', 'Mini pumpkin pielets- This filling is enough to make four 4 1/4 inch pielets.', 'There will be about 6 tablespoons left over, which can be baked in a small custard cup in a water bath for the same time as the pielets.', 'You will need 8 1/2 ounces of dough.', 'Divide the dough into quarters, roll each piece of dough 1/16 inch thick and large enough to cut a 7 1/2 inch circle, and proceed as above.', 'Bake the pielets, preferably directly on the bottom of the oven, or on a baking stone set on the lowest shelf, in a preheated 375F oven for 35 minutes or until they test done as above.', 'Room temperature, up to 3 days.', 'Canned pumpkin puree is more consistent in flavor and texture than homemade.', 'The crust border should not be too raised or extend past the pie plate because when baked so close to the heat source, and at the lower temperature required for the custard filling, a raised border would not set quickly enough and would droop over the edge and break off.', 'Since the border does not extend past the edge, it is not necessary to shield the edges until after 30 minutes, instead of the usual 15 minutes for a one-crust pie.', 'Characteristic star-burst cracking is the result of overbaking.', 'If desired, cover any crack(s), should they develop, with baked pastry cutouts.']"
Lundy's Ultimate Biscuits,"['1 12 cups all-purpose flour, plus 3 tbsp. for dusting surface', '1 tablespoon baking powder', '1 tablespoon sugar', '12 teaspoon salt', '4 tablespoons unsalted butter', '4 tablespoons shortening', '12 cup milk']","['Preheat oven to 375 degrees.', 'Sift flour, baking powder, sugar, and salt into a large bowl.', 'Cut butter and shortening into small pieces and add to flour mixture.', 'Using hands or a pastry blender, crumble the fat into the flour mixture until the butter and shortening are pea-sized pieces and the mixture resembles coarse cornmeal.', 'Knead dough gently on a lightly floured work surface.', 'Roll out dough to 1/2 inch thick which is crucial to the outcome of the biscuits.', 'Use a 2 inch biscuit cutter or glass to cut out the biscuits and place on an ungreased baking sheet.', 'Bake 14-15 minutes until golder brown and serve hot.']"
Millet Salad With Curry-Ginger Dressing,"['12 cup millet', '1 12 cups hot water', '18 teaspoon salt', '14 cup canned chick-peas, drained and rinsed', '14 cup carrot, finely chopped', '12 medium red bell pepper, chopped', '2 tablespoons raisins', '5 -6 tablespoons curry, ginger dressing', '3 cups lettuce', '1 12 tablespoons fresh cilantro or 1 12 tablespoons fresh parsley, chopped', '3 tablespoons unsalted dry roasted peanuts, chopped', 'curry, ginger dressing', '2 tablespoons rice vinegar', '14 cup canola oil', '1 tablespoon brown rice miso', '12-34 teaspoon curry powder', '14-12 teaspoon minced ginger', '1 small garlic clove, minced', '1 teaspoon brown sugar', '1 tablespoon warm water']","['In a dry, 4 quart saucepan, toast the millet on medium hear for 3 to 5 minutes, stirring constantly, until it becomes fragrant.', 'Carefully pour the water into the pot in a steady stream.', 'Add the salt and bring to a boil.', 'Reduce the heat to low and stir.', 'cover and cook for 25 to 30 minutes.', 'Set aside to cool for a few minutes.', 'Fluff the millet with a fork.', 'Add the garbanzo beans, carrot, red pepper, and raisins.', 'Drizzle with Curry-Ginger Dressing and toss to coat the grain.', 'Taste, add more dressing if necessary.', 'Tear the lettuce into bite sized pieces.', 'Arrange the lettuce on plates and add the millet.', 'Garnish with cilantro and peanuts and serve.', 'Dressing: combine ingredients in a small bowl and stir to dissolve the miso and sugar.', 'The dressing with keep in the fridge, covered, for a week.']"
